Date,Blocks Found
2025-05-02,3
2025-05-03,2
2025-05-04,1
2025-05-05,4
2025-05-06,11
2025-05-07,19
2025-05-08,25
2025-05-09,27
2025-05-10,24
2025-05-11,22
2025-05-12,37
2025-05-13,32
2025-05-14,37
2025-05-15,15
2025-05-16,5
2025-05-17,7
2025-05-18,14
2025-05-19,11
2025-05-20,8
2025-05-21,10
2025-05-22,37
2025-05-23,2
2025-05-24,3
2025-05-25,3
2025-05-28,2
2025-05-29,5
2025-05-30,1
2025-05-31,1
2025-06-01,2
2025-06-02,2
